experiment_name,run_name,finetune_strategy,unfreeze_last_n_layers,use_fgm,fgm_epsilon,embedding_unfrozen,trainable_ratio,trainable_ratio_percent,trainable_params,total_params,train_loss,train_acc,train_f1,test_loss,test_acc,test_f1,best_epoch_by_val_f1,best_val_loss,best_val_acc,best_val_f1,epochs,batch_size,max_len,bert_lr,classifier_lr,weight_decay,checkpoint_path
bert_frozen_no_fgm,bert_frozen_no_fgm,frozen,,False,0.8,False,7.5189191748259e-05,0.007518919174825899,7690,102275338,0.5725418258675327,0.8617919482943037,0.8439115176234917,0.5849211300037225,0.8574766355140186,0.8334888666791013,6,0.5739854542805972,0.8635301614273577,0.844406311196305,6,16,256,2e-05,0.0002,0.01,D:\python\Chinese Text Classification From TF-IDF Baseline to LSTM and BERT\checkpoints\bert_frozen_no_fgm\best_model.pth
bert_partial_last_1_no_fgm,bert_partial_last_1_no_fgm,partial,1.0,False,0.8,False,0.07515158737485668,7.515158737485668,7686154,102275338,0.34543992298838355,0.9358913088004369,0.9440262209835015,0.4408921767010361,0.9061172472387425,0.902661324757896,5,0.43628071305502647,0.9068606627017842,0.8989298165224071,6,16,256,2e-05,0.0002,0.01,D:\python\Chinese Text Classification From TF-IDF Baseline to LSTM and BERT\checkpoints\bert_partial_last_1_no_fgm\best_model.pth
bert_partial_last_2_no_fgm,bert_partial_last_2_no_fgm,partial,2.0,False,0.8,False,0.1444534556316988,14.445345563169882,14774026,102275338,0.27249022783638094,0.9652716142099633,0.9648039933500103,0.42224095094578695,0.9076040781648258,0.9001047020086347,5,0.4189559398005347,0.913126593033135,0.9082956640629541,6,16,256,2e-05,0.0002,0.01,D:\python\Chinese Text Classification From TF-IDF Baseline to LSTM and BERT\checkpoints\bert_partial_last_2_no_fgm\best_model.pth
bert_partial_last_4_no_fgm,bert_partial_last_4_no_fgm,partial,4.0,False,0.8,False,0.2830571921453831,28.30571921453831,28949770,102275338,0.21223386544637168,0.9887804100953551,0.9913322478821998,0.4410920559144567,0.913338997451147,0.9107464981340089,6,0.43499929981405894,0.9182242990654206,0.9105633850251571,6,16,256,2e-05,0.0002,0.01,D:\python\Chinese Text Classification From TF-IDF Baseline to LSTM and BERT\checkpoints\bert_partial_last_4_no_fgm\best_model.pth
bert_partial_last_4_embedding_fgm,bert_partial_last_4_embedding_fgm,partial,4.0,True,0.8,True,0.44558505394526293,44.55850539452629,45572362,102275338,0.23506960283979877,0.9808606995744293,0.9844671051362092,0.3924162761073246,0.9180118946474086,0.9180073740494556,5,0.38504030978973375,0.9207731520815633,0.9160806370931134,6,16,256,2e-05,0.0002,0.01,D:\python\Chinese Text Classification From TF-IDF Baseline to LSTM and BERT\checkpoints\bert_partial_last_4_embedding_fgm\best_model.pth
bert_partial_last_8_no_fgm,bert_partial_last_8_no_fgm,partial,8.0,False,0.8,False,0.5602646651727516,56.02646651727517,57301258,102275338,0.21346186005602016,0.986049475432967,0.9846430046698884,0.45017215363940855,0.9138700084961767,0.9084773071743484,5,0.4338823421941334,0.917268479184367,0.9122350242621243,6,16,256,2e-05,0.0002,0.01,D:\python\Chinese Text Classification From TF-IDF Baseline to LSTM and BERT\checkpoints\bert_partial_last_8_no_fgm\best_model.pth
bert_partial_last_8_embedding_fgm,bert_partial_last_8_embedding_fgm,partial,8.0,True,0.8,True,0.7227925269726315,72.27925269726315,73923850,102275338,0.3023766038894805,0.9504562936665074,0.9532007447127706,0.381305827690366,0.917374681393373,0.9154506428190109,2,0.3749172183904186,0.9202421410365336,0.9175143323970367,6,16,256,2e-05,0.0002,0.01,D:\python\Chinese Text Classification From TF-IDF Baseline to LSTM and BERT\checkpoints\bert_partial_last_8_embedding_fgm\best_model.pth
bert_partial_last_12_no_fgm,bert_partial_last_12_no_fgm,partial,12.0,False,0.8,False,0.8374721382001201,83.747213820012,85652746,102275338,0.20979447553193672,0.9869597869870963,0.9894411436471927,0.46421673744537106,0.9124893797790994,0.9051343823423835,6,0.45384811919527535,0.9182242990654206,0.9117802487761411,6,16,256,2e-05,0.0002,0.01,D:\python\Chinese Text Classification From TF-IDF Baseline to LSTM and BERT\checkpoints\bert_partial_last_12_no_fgm\best_model.pth
bert_full_no_fgm,bert_full_no_fgm,full,,False,0.8,False,1.0,100.0,102275338,102275338,0.2596742283105335,0.9679797910834983,0.9715955437388504,0.4137221370699452,0.9151444350042481,0.9068359342954511,3,0.4079315510966966,0.9158878504672897,0.9111987276073441,6,16,256,2e-05,0.0002,0.01,D:\python\Chinese Text Classification From TF-IDF Baseline to LSTM and BERT\checkpoints\bert_full_no_fgm\best_model.pth
