experiment_name,run_name,finetune_strategy,unfreeze_last_n_layers,use_fgm,embedding_unfrozen,train_acc,train_f1,test_acc,test_f1,best_val_f1,test_loss,metrics_saved_at,history_saved_at,strategy_label,use_fgm_bool,embedding_unfrozen_bool
bert_partial_last_4_embedding_no_fgm,bert_partial_last_4_embedding_no_fgm,partial,4,False,True,0.9611069388498213,0.9643555116894156,0.9149320305862362,0.9162562253178326,0.9100624861528409,0.4076789104543506,2026-05-29T20:26:26,2026-05-29T20:18:48,last 4 embedding_no_fgm,False,True
bert_partial_last_4_no_fgm,bert_partial_last_4_no_fgm,partial,4,False,False,0.9887804100953551,0.9913322478821998,0.913338997451147,0.9107464981340089,0.9105633850251571,0.4410920559144567,2026-05-28T00:40:03,2026-05-28T00:32:55,last 4 no_fgm,False,False
bert_partial_last_4_embedding_fgm,bert_partial_last_4_embedding_fgm,partial,4,True,True,0.9808606995744293,0.9844671051362092,0.9180118946474086,0.9180073740494556,0.9160806370931134,0.3924162761073246,2026-05-28T03:30:07,2026-05-28T03:22:58,last 4 embedding_fgm,True,True
bert_partial_last_8_embedding_no_fgm,bert_partial_last_8_embedding_no_fgm,partial,8,False,True,0.9811793086183747,0.9829660567497793,0.9177994902293968,0.9134270830585498,0.9095970183029127,0.4160213627193373,2026-05-29T22:11:00,2026-05-29T22:03:49,last 8 embedding_no_fgm,False,True
bert_partial_last_8_no_fgm,bert_partial_last_8_no_fgm,partial,8,False,False,0.986049475432967,0.9846430046698884,0.9138700084961767,0.9084773071743484,0.9122350242621243,0.45017215363940855,2026-05-28T05:01:14,2026-05-28T04:54:06,last 8 no_fgm,False,False
bert_partial_last_8_embedding_fgm,bert_partial_last_8_embedding_fgm,partial,8,True,True,0.9809744885186955,0.9835654722641094,0.917374681393373,0.9154506428190109,0.9175143323970367,0.2430378079427028,2026-05-28T12:20:11,2026-05-28T08:01:42,last 8 embedding_fgm,True,True
